window_id,record_id,start_sample,end_sample,start_second,end_second,af_label,mixed_label
001_000019,001,114000,119999,570.0,600.0,AF,False
001_000062,001,372000,377999,1860.0,1890.0,AF,False
001_000083,001,498000,503999,2490.0,2520.0,AF,False
001_000094,001,564000,569999,2820.0,2850.0,AF,False
001_000100,001,600000,605999,3000.0,3030.0,AF,False
001_000115,001,690000,695999,3450.0,3480.0,AF,False
001_000159,001,954000,959999,4770.0,4800.0,AF,False
001_000166,001,996000,1001999,4980.0,5010.0,AF,False
001_000178,001,1068000,1073999,5340.0,5370.0,AF,False
001_000201,001,1206000,1211999,6030.0,6060.0,AF,False
001_000213,001,1278000,1283999,6390.0,6420.0,AF,False
001_000221,001,1326000,1331999,6630.0,6660.0,AF,False
001_000229,001,1374000,1379999,6870.0,6900.0,AF,False
001_000239,001,1434000,1439999,7170.0,7200.0,AF,False
001_000242,001,1452000,1457999,7260.0,7290.0,AF,False
001_000244,001,1464000,1469999,7320.0,7350.0,AF,False
001_000247,001,1482000,1487999,7410.0,7440.0,AF,False
001_000258,001,1548000,1553999,7740.0,7770.0,AF,False
001_000268,001,1608000,1613999,8040.0,8070.0,AF,False
001_000290,001,1740000,1745999,8700.0,8730.0,AF,False
001_000307,001,1842000,1847999,9210.0,9240.0,AF,False
001_000326,001,1956000,1961999,9780.0,9810.0,AF,False
001_000330,001,1980000,1985999,9900.0,9930.0,AF,False
001_000342,001,2052000,2057999,10260.0,10290.0,AF,False
001_000343,001,2058000,2063999,10290.0,10320.0,AF,False
001_000355,001,2130000,2135999,10650.0,10680.0,AF,False
001_000372,001,2232000,2237999,11160.0,11190.0,AF,False
001_000374,001,2244000,2249999,11220.0,11250.0,AF,False
001_000404,001,2424000,2429999,12120.0,12150.0,AF,False
001_000417,001,2502000,2507999,12510.0,12540.0,AF,False
001_000424,001,2544000,2549999,12720.0,12750.0,AF,False
001_000429,001,2574000,2579999,12870.0,12900.0,AF,False
001_000441,001,2646000,2651999,13230.0,13260.0,AF,False
001_000456,001,2736000,2741999,13680.0,13710.0,AF,False
001_000457,001,2742000,2747999,13710.0,13740.0,AF,False
001_000473,001,2838000,2843999,14190.0,14220.0,AF,False
001_000500,001,3000000,3005999,15000.0,15030.0,AF,False
001_000510,001,3060000,3065999,15300.0,15330.0,AF,False
001_000519,001,3114000,3119999,15570.0,15600.0,AF,False
001_000533,001,3198000,3203999,15990.0,16020.0,AF,False
001_000581,001,3486000,3491999,17430.0,17460.0,AF,False
001_000590,001,3540000,3545999,17700.0,17730.0,AF,False
001_000600,001,3600000,3605999,18000.0,18030.0,AF,False
001_000634,001,3804000,3809999,19020.0,19050.0,AF,False
001_000637,001,3822000,3827999,19110.0,19140.0,AF,False
001_000657,001,3942000,3947999,19710.0,19740.0,AF,False
001_000658,001,3948000,3953999,19740.0,19770.0,AF,False
001_000720,001,4320000,4325999,21600.0,21630.0,AF,False
001_000724,001,4344000,4349999,21720.0,21750.0,AF,False
001_000730,001,4380000,4385999,21900.0,21930.0,AF,False
001_000736,001,4416000,4421999,22080.0,22110.0,AF,False
001_000741,001,4446000,4451999,22230.0,22260.0,AF,False
001_000748,001,4488000,4493999,22440.0,22470.0,AF,False
001_000756,001,4536000,4541999,22680.0,22710.0,AF,False
001_000764,001,4584000,4589999,22920.0,22950.0,AF,False
001_000766,001,4596000,4601999,22980.0,23010.0,AF,False
001_000797,001,4782000,4787999,23910.0,23940.0,AF,False
001_000820,001,4920000,4925999,24600.0,24630.0,AF,False
001_000827,001,4962000,4967999,24810.0,24840.0,AF,False
001_000829,001,4974000,4979999,24870.0,24900.0,AF,False
001_000856,001,5136000,5141999,25680.0,25710.0,AF,False
001_000871,001,5226000,5231999,26130.0,26160.0,AF,False
001_000876,001,5256000,5261999,26280.0,26310.0,AF,False
001_000913,001,5478000,5483999,27390.0,27420.0,AF,False
001_000924,001,5544000,5549999,27720.0,27750.0,AF,False
001_000936,001,5616000,5621999,28080.0,28110.0,AF,False
001_000939,001,5634000,5639999,28170.0,28200.0,AF,False
001_000945,001,5670000,5675999,28350.0,28380.0,AF,False
001_000951,001,5706000,5711999,28530.0,28560.0,AF,False
001_000958,001,5748000,5753999,28740.0,28770.0,AF,False
001_000962,001,5772000,5777999,28860.0,28890.0,AF,False
001_000974,001,5844000,5849999,29220.0,29250.0,AF,False
001_000997,001,5982000,5987999,29910.0,29940.0,AF,False
001_001012,001,6072000,6077999,30360.0,30390.0,AF,False
001_001029,001,6174000,6179999,30870.0,30900.0,AF,False
001_001041,001,6246000,6251999,31230.0,31260.0,AF,False
001_001047,001,6282000,6287999,31410.0,31440.0,AF,False
001_001078,001,6468000,6473999,32340.0,32370.0,AF,False
001_001105,001,6630000,6635999,33150.0,33180.0,AF,False
001_001107,001,6642000,6647999,33210.0,33240.0,AF,False
001_001110,001,6660000,6665999,33300.0,33330.0,AF,False
001_001114,001,6684000,6689999,33420.0,33450.0,AF,False
001_001125,001,6750000,6755999,33750.0,33780.0,AF,False
001_001140,001,6840000,6845999,34200.0,34230.0,AF,False
